Resolution,Server Name,Task Name,Total Applied Changes,Avg Apply Throughput (rec/sec),latency,Total Change Volume
01-Feb-2025,QLIK-REPLICATE-PROD-1,ARCI_JRRB08_JRNBRIM_TO_KAFKA,"3,609,186",976,2,168.60 GB
01-Feb-2025,QLIK-REPLICATE-PROD-1,JRDMASCDC_JRNBRIM_TO_KAFKA,"294,620,270","3,499",979,221.63 GB
01-Feb-2025,QLIK-REPLICATE-PROD-1,JRNBWP_JRNBRIM_TO_KAFKA,"32,857",0,0,170.15 MB
01-Feb-2025,QLIK-REPLICATE-PROD-1,JRNBWP_JRNBRIM_TO_KAFKA_2,"352,020",2,1,693.42 MB
01-Feb-2025,QLIK-REPLICATE-PROD-1,JRNBWP_JRNBRIM_TO_KAFKA_3,"44,584",0,1,83.97 MB
01-Feb-2025,QLIK-REPLICATE-PROD-1,JRNDS2_JRNBRIM_TO_KAFKA,"127,102,923","1,527",1,286.31 GB
01-Feb-2025,QLIK-REPLICATE-PROD-1,JRNDSP_JRNBRIM_TO_KAFKA,"124,646,863","1,450","6,565",310.16 GB
01-Feb-2025,QLIK-REPLICATE-PROD-1,JRNDWP_JRNBRIM_TO_KAFKA,"136,437,413","1,682",647,369.16 GB
01-Feb-2025,QLIK-REPLICATE-PROD-1,JRNGLP_JRNBRIM_TO_KAFKA,"23,805,889",244,"6,449",234.29 GB
01-Feb-2025,QLIK-REPLICATE-PROD-1,JRNLN2_JRNBRIM_TO_KAFKA,"27,093,789",328,269,1.13 TB
02-Feb-2025,QLIK-REPLICATE-PROD-1,ARCI_JRRB08_JRNBRIM_TO_KAFKA,"17,252",707,4,119.94 GB
02-Feb-2025,QLIK-REPLICATE-PROD-1,JRDMASCDC_JRNBRIM_TO_KAFKA,"294,635,391","3,393",697,221.64 GB
02-Feb-2025,QLIK-REPLICATE-PROD-1,JRNBWP_JRNBRIM_TO_KAFKA,"10,226",0,137,49.04 MB
02-Feb-2025,QLIK-REPLICATE-PROD-1,JRNBWP_JRNBRIM_TO_KAFKA_2,"114,880",1,112,130.58 MB
02-Feb-2025,QLIK-REPLICATE-PROD-1,JRNBWP_JRNBRIM_TO_KAFKA_3,"21,792",0,113,38.04 MB
02-Feb-2025,QLIK-REPLICATE-PROD-1,JRNDS2_JRNBRIM_TO_KAFKA,"218,458",0,39,528.20 MB
02-Feb-2025,QLIK-REPLICATE-PROD-1,JRNDSP_JRNBRIM_TO_KAFKA,"229,411,884","2,632",1,601.81 GB
02-Feb-2025,QLIK-REPLICATE-PROD-1,JRNDWP_JRNBRIM_TO_KAFKA,"161,361,854","1,943",717,431.54 GB
02-Feb-2025,QLIK-REPLICATE-PROD-1,JRNGLP_JRNBRIM_TO_KAFKA,"23,770,264",260,"6,641",233.70 GB
02-Feb-2025,QLIK-REPLICATE-PROD-1,JRNLN2_JRNBRIM_TO_KAFKA,"26,934,521",320,284,1.12 TB
03-Feb-2025,QLIK-REPLICATE-PROD-1,ARCI_JRRB08_JRNBRIM_TO_KAFKA,"333,339",848,3,135.51 GB
03-Feb-2025,QLIK-REPLICATE-PROD-1,JRDMASCDC_JRNBRIM_TO_KAFKA,"294,643,814","3,436",738,221.65 GB
03-Feb-2025,QLIK-REPLICATE-PROD-1,JRNBWP_JRNBRIM_TO_KAFKA,"535,476",7,75,2.87 GB
03-Feb-2025,QLIK-REPLICATE-PROD-1,JRNBWP_JRNBRIM_TO_KAFKA_2,"7,196,746",87,44,8.76 GB
03-Feb-2025,QLIK-REPLICATE-PROD-1,JRNBWP_JRNBRIM_TO_KAFKA_3,"395,429",1,44,751.50 MB
03-Feb-2025,QLIK-REPLICATE-PROD-1,JRNDS2_JRNBRIM_TO_KAFKA,"154,542,380","1,761",1,348.48 GB
03-Feb-2025,QLIK-REPLICATE-PROD-1,JRNDSP_JRNBRIM_TO_KAFKA,"388,642",0,33,1.08 GB
03-Feb-2025,QLIK-REPLICATE-PROD-1,JRNDWP_JRNBRIM_TO_KAFKA,"123,497,031","1,507",493,340.33 GB
03-Feb-2025,QLIK-REPLICATE-PROD-1,JRNGLP_JRNBRIM_TO_KAFKA,"23,770,624",282,"4,708",233.70 GB
03-Feb-2025,QLIK-REPLICATE-PROD-1,JRNLN2_JRNBRIM_TO_KAFKA,"26,873,263",335,323,1.12 TB
04-Feb-2025,QLIK-REPLICATE-PROD-1,ARCI_JRRB08_JRNBRIM_TO_KAFKA,"315,786",795,2,135.51 GB
04-Feb-2025,QLIK-REPLICATE-PROD-1,JRDMASCDC_JRNBRIM_TO_KAFKA,"294,710,053","3,470",750,221.70 GB
04-Feb-2025,QLIK-REPLICATE-PROD-1,JRNBWP_JRNBRIM_TO_KAFKA,"592,332",8,62,3.19 GB
04-Feb-2025,QLIK-REPLICATE-PROD-1,JRNBWP_JRNBRIM_TO_KAFKA_2,"7,725,049",131,45,9.64 GB
04-Feb-2025,QLIK-REPLICATE-PROD-1,JRNBWP_JRNBRIM_TO_KAFKA_3,"425,735",6,45,824.78 MB
04-Feb-2025,QLIK-REPLICATE-PROD-1,JRNDS2_JRNBRIM_TO_KAFKA,"189,360",0,53,457.88 MB
04-Feb-2025,QLIK-REPLICATE-PROD-1,JRNDSP_JRNBRIM_TO_KAFKA,"296,442,690","3,292",1,780.26 GB
04-Feb-2025,QLIK-REPLICATE-PROD-1,JRNDWP_JRNBRIM_TO_KAFKA,"138,947,419","1,591",601,381.68 GB
04-Feb-2025,QLIK-REPLICATE-PROD-1,JRNGLP_JRNBRIM_TO_KAFKA,"23,811,245",229,"5,061",234.37 GB
04-Feb-2025,QLIK-REPLICATE-PROD-1,JRNLN2_JRNBRIM_TO_KAFKA,"27,053,530",313,291,1.12 TB
05-Feb-2025,QLIK-REPLICATE-PROD-1,ARCI_JRRB08_JRNBRIM_TO_KAFKA,"367,758",855,2,151.58 GB
05-Feb-2025,QLIK-REPLICATE-PROD-1,JRDMASCDC_JRNBRIM_TO_KAFKA,"294,775,636","3,341",712,221.75 GB
05-Feb-2025,QLIK-REPLICATE-PROD-1,JRNBWP_JRNBRIM_TO_KAFKA,"601,392",0,57,3.24 GB
05-Feb-2025,QLIK-REPLICATE-PROD-1,JRNBWP_JRNBRIM_TO_KAFKA_2,"7,936,712",86,58,9.92 GB
