Kolom,post_id,video_url,author_username,post_date,caption,hashtags,mentions,like_count,comment_count,share_count,view_count,saved_count,duration,location_name,crawled_at,followers_count
Deskripsi,ID unik video TikTok. misal dr url https://www.tiktok.com/@username/video/7280011234567890 maka id video 7280011234567890 ,URL lengkap video. midal  https://www.tiktok.com/@username/video/7280011234567890,Username akun pembuat video . misal @vinfastindonesia,Tanggal dan jam post,Caption lengkap video,Daftar hashtag digunakan,Username yang di-mention,Jumlah likes ,Jumlah komentar 💬,Jumlah dibagikan 🔁,Jumlah penonton 👁️,Jumlah video disimpan (jarang tersedia),Durasi video dalam detik,Lokasi (jika tersedia atau di-caption),Tanggal saat scraping dilakukan,
,7455256259135098129,https://www.tiktok.com/@vinfastindonesia/video/7455256259135098129,@vinfastindonesia,1 januari 2025,"Selamat datang di tahun baru 2025, VinFam! 🎇🎉

Tahun baru adalah awal baru untuk menciptakan momen indah bersama keluarga. VinFast siap menemani setiap perjalanan Anda dengan kendaraan yang nyaman dan aman, menghadirkan pengalaman berkendara yang tak terlupakan di tahun ini.

Mari wujudkan perjalanan penuh cerita baru bersama VinFast.

VinFast EV for Everyone.
Pesan sekarang via hotline bebas pulsa: 1500083.",-,,31,2,,852,0,,,19/04/2025,"17,1K"
,7455608737361923329,https://www.tiktok.com/@vinfastindonesia/video/7455608737361923329,@vinfastindonesia,3 januari 2025,"VinFast berkomitmen untuk memberikan EV yang terjangkau bagi semua orang. Setelah VF e34 dan VF 5 yang rilis di Indonesia, akan ada juga tipe-tipe lain yang menyusul masuk pasar Indonesia.

VinFast tipe apa yang paling kamu tunggu? Stay tuned with us for more updates, VinFam!

VinFast EV for Everyone
Pesan sekarang via hotline bebas pulsa: 1500083.",#VinFastIndonesia #VinFast #LivingUnbound #UnboundComfort #YourDriveYourVibe #MobilListrik #VinFastVFe34 #VinFastVF5 #EVforEveryone #VinFastEVForEveryone,-,30,4,,901,0,,,19/04/2025,"17,1K"
,7456295596912053505,https://www.tiktok.com/@vinfastindonesia/video/7456295596912053505,@vinfastindonesia,5 Januari 2025,"Kalau sama-sama mau test drive VinFast sih gak perlu berantem ya, VinFam! Tinggal datang aja ke showroom VinFast terdekat buat cobain pengalaman berkendara mobil listrik VinFast!

Cek daftar showroom terdekat di pinned post VinFast, ya.

VinFast EV for Everyone
Pesan sekarang via hotline bebas pulsa: 1500083.",#VinFastIndonesia #VinFast #LivingUnbound #UnboundComfort #YourDriveYourVibe #MobilListrik #VinFastVFe34 #VinFastVF5 #EVforEveryone #VinFastEVForEveryone,-,571,43,,8997,13,,,19/04/2025,"17,1K"
,7457106103915056392,https://www.tiktok.com/@vinfastindonesia/video/7457106103915056392,@vinfastindonesia,7 Januari 2025,"Kendalikan teknologi canggih VinFast VF 5 hanya dengan sentuhan!

Fitur Smart Control memungkinkan VinFam mengoperasikan berbagai fungsi mobil dari head unit screen, menghadirkan pengalaman berkendara yang lebih mudah dan modern.

VinFast, EV for Everyone.
Pesan sekarang via hotline bebas pulsa: 1500083.",#VinFastIndonesia #VinFast #LivingUnbound #YourDriveYourVibe #MobilListrik #VinFastVF5 #KimYouJung #EVforEveryone #VinFastEVForEveryone,-,31,1,,958,3,,,19/04/2025,"17,1K"
,7458264244061048072,https://www.tiktok.com/@vinfastindonesia/photo/7458264244061048072,@vinfastindonesia,10 Januari 2025,"Memilih mode berkendara yang tepat tidak hanya membuat pengalaman mengemudi lebih menyenangkan, tapi juga bisa mengoptimalkan efisiensi dan performa mobilmu, VinFam.

Jadi, yuk kenali 3 driving modes VinFast VF e34 dan sesuaikan dengan kondisi serta kebutuhan berkendaramu.

VinFast EV for Everyone
Pesan sekarang via hotline bebas pulsa: 1500083.",#VinFastIndonesia #VinFast #LivingUnbound #UnboundComfort #MobilListrik #VinFastVFe34 #EVforEveryone #VinFastEVForEveryone,-,24,0,,1059,3,,,19/04/2025,"17,1K"
,7458264244061048072,https://www.tiktok.com/@vinfastindonesia/photo/7458264244061048072,@vinfastindonesia,13 Januari 2025,"Dengan sekali pengisian daya baterai penuh, VinFast VF e34 bisa menempuh jarak ±318 km, VinFam!

Dengan kemampuan ini, kamu bisa menggunakan VinFast VF e34 untuk kebutuhan berkendara harian ataupun liburan singkat bersama keluarga. Yuk, miliki VinFast VF e34 sekarang!

VinFast EV for Everyone
Pesan VF e34 sekarang mulai dari Rp273 juta* via hotline bebas pulsa: 1500083.

*Harga OTR Jakarta",-,-,56,2,,1344,1,,,19/04/2025,"17,1K"
,7460124882014047506,https://www.tiktok.com/@vinfastindonesia/video/7460124882014047506,@vinfastindonesia,15 Januari 2025,"Kaya gini nih gallery para pemilik VinFast VF 5. ✨

Bisa banget ‘kan disesuain dengan vibes kamu? Yuk miliki VinFast VF 5 sekarang juga, VinFam!

VinFast EV for Everyone
Pesan VF 5 mulai dari Rp218,250 juta* via hotline bebas pulsa: 1500083.

*Harga OTR Jakarta",#VinFastIndonesia #VinFast #LivingUnbound #YourDriveYourVibe #MobilListrik #VinFastVF5 #EVforEveryone #VinFastEVForEveryone #KimYouJung,-,49,2,,1216,3,,,19/04/2025,"17,1K"
,7460462396860075272,https://www.tiktok.com/@vinfastindonesia/photo/7460462396860075272,@vinfastindonesia,16 Januari 2025,"Bosan dengan mobil besar yang sulit maneuver di jalanan kota? Saatnya beralih ke VinFast VF 5!

Ukurannya yang compact bikin pengalaman berkendara jadi lebih lincah dan mudah dikendarai di jalanan yang sempit. Bersama VinFast VF 5, kamu bisa bebas menjelajahi kota dengan nyaman. Yuk, rasakan sensasi berkendara yang berbeda bersama VinFast VF 5! ✨

VinFast EV for Everyone
Pesan VF 5 mulai dari Rp218,250 juta* via hotline bebas pulsa: 1500083.",#VinFastIndonesia #VinFast #LivingUnbound #YourDriveYourVibe #MobilListrik #VinFastVF5 #EVforEveryone #VinFastEVForEveryone,-,32,2,,1368,1,,,19/04/2025,"17,1K"
,7461157055307582727,https://www.tiktok.com/@vinfastindonesia/video/7461157055307582727,@vinfastindonesia,18 Januari 2025,"Kegiatan akhir pekan jadi lebih seru bareng VinFast VF 5!

Interiornya yang nyaman dengan fiturnya lengkap, bikin kegiatan kamu jadi lebih menyenangkan, VinFam. Kamu juga bisa memilih VinFast VF 5 yang sesuai vibes kamu. VinFast VF 5 warna apa yang paling bisa menggambarkan vibes kamu? Tulis di komen, ya!

VinFast EV for Everyone
Pesan VF 5 mulai dari Rp218,250 juta* via hotline bebas pulsa: 1500083.

*Harga OTR Jakarta
",#VinFastIndonesia #VinFast #LivingUnbound #YourDriveYourVibe #MobilListrik #VinFastVF5 #EVforEveryone #VinFastEVForEveryone,-,28,2,,1042,1,,,19/04/2025,"17,1K"
